featt001,Featherston,Taylor,R,R,ANA,2B
freed001,Freese,David,R,R,ANA,3B
giavj001,Giavotella,Johnny,R,R,ANA,2B
gillc001,Gillaspie,Conor,L,R,ANA,1B
gottt001,Gott,Trevor,R,R,ANA,P
greeg002,Green,Grant,R,R,ANA,OF
heana001,Heaney,Andrew,L,L,ANA,P
iannc001,Iannetta,Chris,R,R,ANA,C
ibare001,Ibarra,Edgar,L,L,ANA,P
jackr005,Jackson,Ryan,R,R,ANA,SS
joycm001,Joyce,Matthew,L,R,ANA,OF
kraum001,Krauss,Marc,L,R,ANA,OF
kubik001,Kubitza,Kyle,L,R,ANA,3B
latom001,Latos,Mat,R,R,ANA,P
marta005,Marte,Alfredo,R,R,ANA,OF
mattr001,Mattheus,Ryan,R,R,ANA,P
morim002,Morin,Mike,R,R,ANA,P
murpd005,Murphy,David,L,L,ANA,OF
navae001,Navarro,Efren,L,L,ANA,1B
nieuk001,Nieuwenhuis,Kirk,L,R,ANA,OF
perec003,Perez,Carlos,R,R,ANA,C
pestv001,Pestano,Vinnie,R,R,ANA,P
pujoa001,Pujols,Albert,R,R,ANA,1B
ramoc001,Ramos,Cesar,L,L,ANA,P
rasmc002,Rasmus,Cory,R,R,ANA,P
reyej003,Reyes,Jo-Jo,L,L,ANA,P
richg002,Richards,Garrett,R,R,ANA,P
robed003,Robertson,Daniel,R,R,ANA,OF
rucid001,Rucinski,Drew,R,R,ANA,P
salaf001,Salas,Fernando,R,R,ANA,P
santh001,Santiago,Hector,R,L,ANA,P
shoem001,Shoemaker,Matt,R,R,ANA,P
smitj002,Smith,Joe,R,R,ANA,P
streh001,Street,Huston,R,R,ANA,P
tropn001,Tropeano,Nick,R,R,ANA,P
troum001,Trout,Mike,R,R,ANA,OF
victs001,Victorino,Shane,R,R,ANA,OF
weavj003,Weaver,Jered,R,R,ANA,P
wilka001,Wilk,Adam,L,L,ANA,P
wilsc004,Wilson,C.J.,L,L,ANA,P
wrigw001,Wright,Wesley,R,L,ANA,P
albaj001,Albaladejo,Jonathan,R,R,ARI,P
albem001,Albers,Matt,L,R,ARI,P
bauet001,Bauer,Trevor,R,R,ARI,P
bellj004,Bell,Josh,B,R,ARI,3B
bergb002,Bergesen,Brad,L,R,ARI,P
blanh001,Blanco,Henry,R,R,ARI,C
bloow001,Bloomquist,Willie,R,R,ARI,2B
blumg001,Blum,Geoff,B,R,ARI,3B
bresc001,Breslow,Craig,L,L,ARI,P
cahit001,Cahill,Trevor,R,R,ARI,P
collj001,Collmenter,Josh,R,R,ARI,P
corbp001,Corbin,Patrick,L,L,ARI,P
demes001,Demel,Sam,R,R,ARI,P
drews001,Drew,Stephen,L,R,ARI,SS
eatoa002,Eaton,Adam,L,L,ARI,OF
elmoj001,Elmore,Jake,R,R,ARI,2B
goldp001,Goldschmidt,Paul,R,R,ARI,1B
graht001,Graham,Tyler,R,R,ARI,OF
hernd002,Hernandez,David,R,R,ARI,P
hilla001,Hill,Aaron,R,R,ARI,2B
hudsd001,Hudson,Daniel,R,R,ARI,P
jacom001,Jacobs,Mike,L,R,ARI,1B
johnc003,Johnson,Chris,R,R,ARI,3B
kenni001,Kennedy,Ian,R,R,ARI,P
kubej002,Kubel,Jason,L,R,ARI,RF
lindm001,Lindstrom,Matt,R,R,ARI,P
martj004,Martinez,Joe,L,R,ARI,P
mcdoj003,McDonald,John,R,R,ARI,SS
milew001,Miley,Wade,L,L,ARI,P
montm001,Montero,Miguel,L,R,ARI,C
nievw001,Nieves,Wil,R,R,ARI,C
overl001,Overbay,Lyle,L,L,ARI,1B
parrg001,Parra,Gerardo,L,L,ARI,OF
patej001,Paterson,Joe,R,L,ARI,P
polla001,Pollock,A.J.,R,R,ARI,OF
putzj001,Putz,J.J.,R,R,ARI,P
ransc001,Ransom,Cody,R,R,ARI,3B
rober002,Roberts,Ryan,R,R,ARI,2B
saitt001,Saito,Takashi,L,R,ARI,P
saunj001,Saunders,Joe,L,L,ARI,P
schmk001,Schmidt,Konrad,R,R,ARI,C
shawb001,Shaw,Bryan,B,R,ARI,P
skagt001,Skaggs,Tyler,L,L,ARI,P
uptoj001,Upton,Justin,R,R,ARI,OF
wheer001,Wheeler,Ryan,L,R,ARI,3B
younc004,Young,Chris,R,R,ARI,OF
zagum001,Zagurski,Mike,L,L,ARI,P
ziegb001,Ziegler,Brad,R,R,ARI,P
bellh001,Bell,Heath,R,R,ARI,P
bloow001,Bloomquist,Willie,R,R,ARI,2B
brewc001,Brewer,Charles,R,R,ARI,P
cahit001,Cahill,Trevor,R,R,ARI,P
campt001,Campana,Tony,L,L,ARI,OF
chave001,Chavez,Eric,L,R,ARI,3B
collj001,Collmenter,Josh,R,R,ARI,P
corbp001,Corbin,Patrick,L,L,ARI,P
davim005,Davidson,Matt,R,R,ARI,3B
delae002,de la Rosa,Eury,L,L,ARI,P
delgr001,Delgado,Randall,R,R,ARI,P
eatoa002,Eaton,Adam,L,L,ARI,OF
goldp001,Goldschmidt,Paul,R,R,ARI,1B
goset001,Gosewisch,Tuffy,R,R,ARI,C
gregd001,Gregorius,Didi,L,R,ARI,SS
harrw002,Harris,Will,R,R,ARI,P
hernd002,Hernandez,David,R,R,ARI,P
hilla001,Hill,Aaron,R,R,ARI,2B
hinse001,Hinske,Eric,L,R,ARI,OF
holmd002,Holmberg,David,R,L,ARI,P
kenni001,Kennedy,Ian,R,R,ARI,P
kubej002,Kubel,Jason,L,R,ARI,RF
langm002,Langwell,Matt,R,R,ARI,P
marta005,Marte,Alfredo,R,R,ARI,OF
mccab001,McCarthy,Brandon,R,R,ARI,P
milew001,Miley,Wade,L,L,ARI,P
montm001,Montero,Miguel,L,R,ARI,C
nievw001,Nieves,Wil,R,R,ARI,C
owinc001,Owings,Chris,R,R,ARI,SS
parrg001,Parra,Gerardo,L,L,ARI,OF
patej001,Paterson,Joe,R,L,ARI,P
pennc001,Pennington,Cliff,B,R,ARI,SS
polla001,Pollock,A.J.,R,R,ARI,OF
pradm001,Prado,Martin,R,R,ARI,OF
putzj001,Putz,J.J.,R,R,ARI,P
reynm002,Reynolds,Matt,L,L,ARI,P
roe-c001,Roe,Chaz,R,R,ARI,P
rossc001,Ross,Cody,R,L,ARI,OF
sippt001,Sipp,Tony,L,L,ARI,P
skagt001,Skaggs,Tyler,L,L,ARI,P
spruz001,Spruill,Zeke,B,R,ARI,P
thatj001,Thatcher,Joe,L,L,ARI,P
wilsj003,Wilson,Josh,R,R,ARI,2B
ziegb001,Ziegler,Brad,R,R,ARI,P
ahmen001,Ahmed,Nick,R,R,ARI,SS
andec001,Anderson,Chase,R,R,ARI,P
arrob001,Arroyo,Bronson,R,R,ARI,P
bolsm001,Bolsinger,Mike,R,R,ARI,P
cahit001,Cahill,Trevor,R,R,ARI,P
campt001,Campana,Tony,L,L,ARI,OF
chafa001,Chafin,Andrew,R,L,ARI,P
chave001,Chavez,Eric,L,R,ARI,3B
collj001,Collmenter,Josh,R,R,ARI,P
delae002,de la Rosa,Eury,L,L,ARI,P
delgr001,Delgado,Randall,R,R,ARI,P
evann001,Evans,Nick,R,R,ARI,OF
goldp001,Goldschmidt,Paul,R,R,ARI,1B
goset001,Gosewisch,Tuffy,R,R,ARI,C
gregd001,Gregorius,Didi,L,R,ARI,SS
hageb001,Hagens,Bradin,R,R,ARI,P
harrw002,Harris,Will,R,R,ARI,P
hilla001,Hill,Aaron,R,R,ARI,2B
hudsd001,Hudson,Daniel,R,R,ARI,P
incie001,Inciarte,Ender,L,L,ARI,OF
jackb002,Jackson,Brett,L,R,ARI,OF
kiesr001,Kieschnick,Roger,L,R,ARI,OF
lambj001,Lamb,Jake,L,R,ARI,3B
marse001,Marshall,Evan,R,R,ARI,P
marta005,Marte,Alfredo,R,R,ARI,OF
marta004,Marte,Andy,R,R,ARI,3B
mccab001,McCarthy,Brandon,R,R,ARI,P
milew001,Miley,Wade,L,L,ARI,P
montm001,Montero,Miguel,L,R,ARI,C
nunov001,Nuno,Vidal,L,L,ARI,P
owinc001,Owings,Chris,R,R,ARI,SS
pachj001,Pacheco,Jordan,R,R,ARI,C
parrg001,Parra,Gerardo,L,L,ARI,OF
patej001,Paterson,Joe,R,L,ARI,P
paulx001,Paul,Xavier,L,R,ARI,OF
pennc001,Pennington,Cliff,B,R,ARI,SS
perad001,Peralta,David,L,L,ARI,OF
pereo002,Perez,Oliver,L,L,ARI,P
polla001,Pollock,A.J.,R,R,ARI,OF
pradm001,Prado,Martin,R,R,ARI,OF
putzj001,Putz,J.J.,R,R,ARI,P
reeda001,Reed,Addison,L,R,ARI,P
reimn001,Reimold,Nolan,R,R,ARI,OF
rossc001,Ross,Cody,R,L,ARI,OF
rowlr002,Rowland-Smith,Ryan,L,L,ARI,P
schub001,Schultz,Bo,R,R,ARI,P
spruz001,Spruill,Zeke,B,R,ARI,P
stitm001,Stites,Matt,L,R,ARI,P
thatj001,Thatcher,Joe,L,L,ARI,P
trumm001,Trumbo,Mark,R,R,ARI,OF
wilsb002,Wilson,Bobby,R,R,ARI,C
ziegb001,Ziegler,Brad,R,R,ARI,P
ahmen001,Ahmed,Nick,R,R,ARI,SS
andec001,Anderson,Chase,R,R,ARI,P
bracs001,Bracho,Silvino,R,R,ARI,P
brada001,Bradley,Archie,R,R,ARI,P
brits001,Brito,Socrates,L,L,ARI,OF
burge002,Burgos,Enrique,R,R,ARI,P
castw002,Castillo,Welington,R,R,ARI,C
chacj001,Chacin,Jhoulys,R,R,ARI,P
chafa001,Chafin,Andrew,R,L,ARI,P
collj001,Collmenter,Josh,R,R,ARI,P
corbp001,Corbin,Patrick,L,L,ARI,P
delar003,de la Rosa,Rubby,R,R,ARI,P
delgr001,Delgado,Randall,R,R,ARI,P
dornd001,Dorn,Danny,L,L,ARI,1B
drurb001,Drury,Brandon,R,R,ARI,3B
godlz001,Godley,Zack,R,R,ARI,P
goldp001,Goldschmidt,Paul,R,R,ARI,1B
goset001,Gosewisch,Tuffy,R,R,ARI,C
gossp001,Gosselin,Phil,R,R,ARI,2B
hellj001,Hellickson,Jeremy,R,R,ARI,P
hernd002,Hernandez,David,R,R,ARI,P
herno002,Hernandez,Oscar,R,R,ARI,C
hessk001,Hessler,Keith,L,L,ARI,P
hilla001,Hill,Aaron,R,R,ARI,2B
hudsd001,Hudson,Daniel,R,R,ARI,P
incie001,Inciarte,Ender,L,L,ARI,OF
lairg001,Laird,Gerald,R,R,ARI,C
leond003,Leone,Dominic,R,R,ARI,P
lambj001,Lamb,Jake,L,R,ARI,3B
marse001,Marshall,Evan,R,R,ARI,P
nunov001,Nuno,Vidal,L,L,ARI,P
obrip002,O'Brien,Peter,R,R,ARI,OF
owinc001,Owings,Chris,R,R,ARI,SS
pachj001,Pacheco,Jordan,R,R,ARI,C
pennc001,Pennington,Cliff,B,R,ARI,SS
perad001,Peralta,David,L,L,ARI,OF
pereo002,Perez,Oliver,L,L,ARI,P
polla001,Pollock,A.J.,R,R,ARI,OF
ramij002,Ramirez,J.C.,R,R,ARI,P
ray-r002,Ray,Robbie,L,L,ARI,P
reeda001,Reed,Addison,L,R,ARI,P
reynm002,Reynolds,Matt,L,L,ARI,P
romaj003,Romak,Jamie,R,R,ARI,3B
saltj001,Saltalamacchia,Jarrod,B,R,ARI,C
schua001,Schugel,A.J.,R,R,ARI,P
stitm001,Stites,Matt,L,R,ARI,P
tomay001,Tomas,Yasmany,R,R,ARI,OF
trumm001,Trumbo,Mark,R,R,ARI,OF
websa001,Webster,Allen,R,R,ARI,P
ziegb001,Ziegler,Brad,R,R,ARI,P
avill001,Avilan,Luis,L,L,ATL,P
bakej001,Baker,Jeff,R,R,ATL,2B
batim001,Batista,Miguel,R,R,ATL,P
beacb001,Beachy,Brandon,R,R,ATL,P
boscj001,Boscan,J.C.,R,R,ATL,C
bourm001,Bourn,Michael,L,R,ATL,OF
consj001,Constanza,Jose,L,L,ATL,OF
delgr001,Delgado,Randall,R,R,ATL,P
diazm003,Diaz,Matt,R,R,ATL,OF
durbc001,Durbin,Chad,R,R,ATL,P
franj005,Francisco,Juan,L,R,ATL,3B
freef001,Freeman,Freddie,L,R,ATL,1B
gearc001,Gearrin,Cory,R,R,ATL,P
hanst001,Hanson,Tommy,R,R,ATL,P
hernl003,Hernandez,Livan,R,R,ATL,P
heywj001,Heyward,Jason,L,L,ATL,OF
hinse001,Hinske,Eric,L,R,ATL,OF
hudst001,Hudson,Tim,R,R,ATL,P
janip001,Janish,Paul,R,R,ATL,SS
johnr008,Johnson,Reed,R,R,ATL,OF
jonec004,Jones,Chipper,B,R,ATL,3B
jurrj001,Jurrjens,Jair,R,R,ATL,P
kimbc001,Kimbrel,Craig,R,R,ATL,P
mahop002,Maholm,Paul,L,L,ATL,P
martc005,Martinez,Cristhian,R,R,ATL,P
moylp001,Moylan,Peter,R,R,ATL,P
mccab002,McCann,Brian,L,R,ATL,C
medlk001,Medlen,Kris,B,R,ATL,P
minom001,Minor,Mike,R,L,ATL,P
oflae001,O'Flaherty,Eric,L,L,ATL,P
overl001,Overbay,Lyle,L,L,ATL,1B
pastt001,Pastornicky,Tyler,R,R,ATL,SS
pradm001,Prado,Martin,R,R,ATL,OF
rossd001,Ross,David,R,R,ATL,C
sheeb001,Sheets,Ben,R,R,ATL,P
simma001,Simmons,Andrelton,R,R,ATL,SS
tehej001,Teheran,Julio,R,R,ATL,P
uggld001,Uggla,Dan,R,R,ATL,2B
varva001,Varvaro,Anthony,R,R,ATL,P
ventj001,Venters,Jonny,L,L,ATL,P
wilsj002,Wilson,Jack,R,R,ATL,SS
avill001,Avilan,Luis,L,L,ATL,P
ayall001,Ayala,Luis,R,R,ATL,P
beacb001,Beachy,Brandon,R,R,ATL,P
bethc001,Bethancourt,Christian,R,R,ATL,C
carpd001,Carpenter,David,R,R,ATL,P
consj001,Constanza,Jose,L,L,ATL,OF
cunnt001,Cunningham,Todd,B,R,ATL,OF
dewib001,DeWitt,Blake,L,R,ATL,3B
downs001,Downs,Scott,L,L,ATL,P
franj005,Francisco,Juan,L,R,ATL,3B
freef001,Freeman,Freddie,L,R,ATL,1B
garcf002,Garcia,Freddy,R,R,ATL,P
gatte001,Gattis,Evan,R,R,ATL,C
gearc001,Gearrin,Cory,R,R,ATL,P
gossp001,Gosselin,Philip,R,R,ATL,2B
haled001,Hale,David,R,R,ATL,P
heywj001,Heyward,Jason,L,L,ATL,OF
hudst001,Hudson,Tim,R,R,ATL,P
janip001,Janish,Paul,R,R,ATL,SS
johnc003,Johnson,Chris,R,R,ATL,3B
johne002,Johnson,Elliot,B,R,ATL,2B
johnr008,Johnson,Reed,R,R,ATL,OF
kimbc001,Kimbrel,Craig,R,R,ATL,P
lairg001,Laird,Gerald,R,R,ATL,C
loe-k001,Loe,Kameron,R,R,ATL,P
mahop002,Maholm,Paul,L,L,ATL,P
martc005,Martinez,Cristhian,R,R,ATL,P
mccab002,McCann,Brian,L,R,ATL,C
medlk001,Medlen,Kris,B,R,ATL,P
minom001,Minor,Mike,R,L,ATL,P
oflae001,O'Flaherty,Eric,L,L,ATL,P
pastt001,Pastornicky,Tyler,R,R,ATL,SS
penar002,Pena,Ramiro,B,R,ATL,SS
rasmc002,Rasmus,Cory,R,R,ATL,P
schaj002,Schafer,Jordan,L,L,ATL,OF
simma001,Simmons,Andrelton,R,R,ATL,SS
tehej001,Teheran,Julio,R,R,ATL,P
terdj001,Terdoslavich,Joey,B,R,ATL,OF
uggld001,Uggla,Dan,R,R,ATL,2B
uptob001,Upton,B.J.,R,R,ATL,OF
uptoj001,Upton,Justin,R,R,ATL,OF
varva001,Varvaro,Anthony,R,R,ATL,P
waldj001,Walden,Jordan,R,R,ATL,P
wooda002,Wood,Alex,R,L,ATL,P
avill001,Avilan,Luis,L,L,ATL,P
beatp001,Beato,Pedro,R,R,ATL,P
bethc001,Bethancourt,Christian,R,R,ATL,C
bonie001,Bonifacio,Emilio,B,R,ATL,2B
buchr001,Buchter,Ryan,L,L,ATL,P
carpd001,Carpenter,David,R,R,ATL,P
consj001,Constanza,Jose,L,L,ATL,OF
doumr001,Doumit,Ryan,B,R,ATL,C
floyg001,Floyd,Gavin,R,R,ATL,P
freef001,Freeman,Freddie,L,R,ATL,1B
gatte001,Gattis,Evan,R,R,ATL,C
gossp001,Gosselin,Philip,R,R,ATL,2B
haled001,Hale,David,R,R,ATL,P
haraa001,Harang,Aaron,R,R,ATL,P
heywj001,Heyward,Jason,L,L,ATL,OF
jaimj001,Jaime,Juan,R,R,ATL,P
johnc003,Johnson,Chris,R,R,ATL,3B
kimbc001,Kimbrel,Craig,R,R,ATL,P
lairg001,Laird,Gerald,R,R,ATL,C
lastt001,La Stella,Tommy,L,R,ATL,2B
minom001,Minor,Mike,R,L,ATL,P
pastt001,Pastornicky,Tyler,R,R,ATL,SS
penar002,Pena,Ramiro,B,R,ATL,SS
russj003,Russell,James,L,L,ATL,P
sante001,Santana,Ervin,R,R,ATL,P
schaj002,Schafer,Jordan,L,L,ATL,OF
schlg001,Schlosser,Gus,R,R,ATL,P
shrec001,Shreve,Chasen,L,L,ATL,P
simma001,Simmons,Andrelton,R,R,ATL,SS
simms001,Simmons,Shae,R,R,ATL,P
tehej001,Teheran,Julio,R,R,ATL,P
terdj001,Terdoslavich,Joey,B,R,ATL,OF
thomi001,Thomas,Ian,R,L,ATL,P
uggld001,Uggla,Dan,R,R,ATL,2B
uptob001,Upton,B.J.,R,R,ATL,OF
uptoj001,Upton,Justin,R,R,ATL,OF
varva001,Varvaro,Anthony,R,R,ATL,P
waldj001,Walden,Jordan,R,R,ATL,P
wooda002,Wood,Alex,R,L,ATL,P
aardd001,Aardsma,David,R,R,ATL,P
avill001,Avilan,Luis,L,L,ATL,P
banum001,Banuelos,Manny,R,L,ATL,P
bethc001,Bethancourt,Christian,R,R,ATL,C
bourm001,Bourn,Michael,L,R,ATL,OF
brigj001,Brigham,Jake,R,R,ATL,P
burad001,Burawa,Danny,R,R,ATL,P
cahit001,Cahill,Trevor,R,R,ATL,P
calla001,Callaspo,Alberto,B,R,ATL,2B
carpd002,Carpenter,David,R,R,ATL,P
castd001,Castro,Daniel,R,R,ATL,2B
cirip001,Ciriaco,Pedro,R,R,ATL,SS
cornj002,Cornely,John,R,R,ATL,P
cunnb001,Cunniff,Brandon,R,R,ATL,P
cunnt001,Cunningham,Todd,B,R,ATL,OF
detwr001,Detwiler,Ross,R,L,ATL,P
eveld001,Eveland,Dana,L,L,ATL,P
foltm001,Foltynewicz,Mike,R,R,ATL,P
frasj002,Frasor,Jason,R,R,ATL,P
freef001,Freeman,Freddie,L,R,ATL,1B
garca004,Garcia,Adonis,R,R,ATL,SS
gomej001,Gomes,Jonny,R,R,ATL,OF
gossp001,Gosselin,Phil,R,R,ATL,2B
grilj001,Grilli,Jason,R,R,ATL,P
jacke001,Jackson,Edwin,R,R,ATL,P
jaimj001,Jaime,Juan,R,R,ATL,P
johnc003,Johnson,Chris,R,R,ATL,3B
johnj010,Johnson,Jim,R,R,ATL,P
johnk003,Johnson,Kelly,L,R,ATL,OF
kellr001,Kelly,Ryan,R,R,ATL,P
kohnm001,Kohn,Michael,R,R,ATL,P
lavar001,Lavarnway,Ryan,R,R,ATL,C
markn001,Markakis,Nick,L,L,ATL,OF
maris001,Marimon,Sugar Ray,R,R,ATL,P
markm001,Marksberry,Matt,L,L,ATL,P
martc008,Martin,Cody,R,R,ATL,P
massn001,Masset,Nick,R,R,ATL,P
maybc001,Maybin,Cameron,R,R,ATL,OF
mckia001,McKirahan,Andrew,R,L,ATL,P
mills001,Miller,Shelby,R,R,ATL,P
moylp001,Moylan,Peter,R,R,ATL,P
olivh001,Olivera,Hector,R,R,ATL,3B
peree003,Perez,Eury,R,R,ATL,OF
perew001,Perez,Williams,R,R,ATL,P
petej002,Peterson,Jace,L,R,ATL,3B
piera001,Pierzynski,A.J.,L,R,ATL,C
simma001,Simmons,Andrelton,R,R,ATL,SS
stule002,Stults,Eric,L,L,ATL,P
swisn001,Swisher,Nick,B,L,ATL,OF
tehej001,Teheran,Julio,R,R,ATL,P
